hotel_name,hotel_area,hotel_rating,hotel_price,num_review,hotel_url
The Oxford by Kasa,Downtown Seattle,Very Good,$116,(148 reviews),/Seattle-Hotels-The-Oxford-Seattle-Downtown.h57698380.Hotel-Information?chkin=2022-02-13&chkout=2022-02-14&x_pwa=1&rfrr=HSR&pwa_ts=1643627897593&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=178307&destination=Seattle+%28and+vicinity%29%2C+Washington%2C+United+States+of+America&destType=MARKET&neighborhoodId=800130&sort=RECOMMENDED&top_dp=100&top_cur=USD&semdtl=&userIntent=&selectedRoomType=226205294&selectedRatePlan=248310586
The Westin Seattle,Belltown,Very Good,$147,"(1,166 reviews)",/Seattle-Hotels-The-Westin-Seattle.h16673.Hotel-Information?chkin=2022-02-13&chkout=2022-02-14&x_pwa=1&rfrr=HSR&pwa_ts=1643627897592&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=178307&destination=Seattle+%28and+vicinity%29%2C+Washington%2C+United+States+of+America&destType=MARKET&neighborhoodId=6237231&sort=RECOMMENDED&top_dp=125&top_cur=USD&semdtl=&userIntent=&selectedRoomType=210303512&selectedRatePlan=222246218
Graduate Seattle,University District,Very Good,$161,(717 reviews),/Seattle-Hotels-Graduate-Seattle.h19023.Hotel-Information?chkin=2022-02-13&chkout=2022-02-14&x_pwa=1&rfrr=HSR&pwa_ts=1643627897590&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=178307&destination=Seattle+%28and+vicinity%29%2C+Washington%2C+United+States+of+America&destType=MARKET&neighborhoodId=6054612&sort=RECOMMENDED&top_dp=139&top_cur=USD&semdtl=&userIntent=&selectedRoomType=211803384&selectedRatePlan=382763242
"Staypineapple, Hotel FIVE, Downtown Seattle",Belltown,Excellent,$171,"(1,076 reviews)",/Seattle-Hotels-Staypineapple.h11969.Hotel-Information?chkin=2022-02-13&chkout=2022-02-14&x_pwa=1&rfrr=HSR&pwa_ts=1643627897594&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=178307&destination=Seattle+%28and+vicinity%29%2C+Washington%2C+United+States+of+America&destType=MARKET&neighborhoodId=6237231&sort=RECOMMENDED&top_dp=122&top_cur=USD&semdtl=&userIntent=&selectedRoomType=201237141&selectedRatePlan=205886363
Hampton Inn & Suites Seattle-Downtown,Seattle,Very Good,$110,"(1,003 reviews)",/Seattle-Hotels-Hampton-Inn-Suites-Seattle-Downtown.h41106.Hotel-Information?chkin=2022-02-13&chkout=2022-02-14&x_pwa=1&rfrr=HSR&pwa_ts=1643627897587&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=178307&destination=Seattle+%28and+vicinity%29%2C+Washington%2C+United+States+of+America&destType=MARKET&neighborhoodId=553248635976008537&sort=RECOMMENDED&top_dp=93&top_cur=USD&semdtl=&userIntent=&selectedRoomType=281833&selectedRatePlan=232026068
The Inn at Virginia Mason,Downtown Seattle,Good,$140,"(1,002 reviews)",/Seattle-Hotels-The-Inn-At-Virginia-Mason.h2635458.Hotel-Information?chkin=2022-02-13&chkout=2022-02-14&x_pwa=1&rfrr=HSR&pwa_ts=1643627897589&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=178307&destination=Seattle+%28and+vicinity%29%2C+Washington%2C+United+States+of+America&destType=MARKET&neighborhoodId=800130&sort=RECOMMENDED&top_dp=119&top_cur=USD&semdtl=&userIntent=&selectedRoomType=200305057&selectedRatePlan=201841095
The Moore Hotel,Belltown,Good,$180,(790 reviews),/Seattle-Hotels-The-Moore-Hotel.h1585072.Hotel-Information?chkin=2022-02-13&chkout=2022-02-14&x_pwa=1&rfrr=HSR&pwa_ts=1643627897591&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=178307&destination=Seattle+%28and+vicinity%29%2C+Washington%2C+United+States+of+America&destType=MARKET&neighborhoodId=6237231&sort=RECOMMENDED&top_dp=154&top_cur=USD&semdtl=&userIntent=&selectedRoomType=215734114&selectedRatePlan=258208670
The State Hotel,Downtown Seattle,Wonderful,$242,(720 reviews),/Seattle-Hotels-The-State-Hotel.h27380703.Hotel-Information?chkin=2022-02-13&chkout=2022-02-14&x_pwa=1&rfrr=HSR&pwa_ts=1643627897588&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=178307&destination=Seattle+%28and+vicinity%29%2C+Washington%2C+United+States+of+America&destType=MARKET&neighborhoodId=800130&sort=RECOMMENDED&top_dp=188&top_cur=USD&semdtl=&userIntent=&selectedRoomType=221131563&selectedRatePlan=294129525
Pan Pacific Seattle,Belltown,Wonderful,$243,"(1,001 reviews)",/Seattle-Hotels-Pan-Pacific-Seattle.h1509734.Hotel-Information?chkin=2022-02-13&chkout=2022-02-14&x_pwa=1&rfrr=HSR&pwa_ts=1643627897591&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=178307&destination=Seattle+%28and+vicinity%29%2C+Washington%2C+United+States+of+America&destType=MARKET&neighborhoodId=6237231&sort=RECOMMENDED&top_dp=195&top_cur=USD&semdtl=&userIntent=&selectedRoomType=130329&selectedRatePlan=211257713
Renaissance Seattle Hotel,Downtown Seattle,Excellent,$128,"(1,004 reviews)",/Seattle-Hotels-Renaissance-Seattle-Hotel.h14405.Hotel-Information?chkin=2022-02-13&chkout=2022-02-14&x_pwa=1&rfrr=HSR&pwa_ts=1643627897589&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=178307&destination=Seattle+%28and+vicinity%29%2C+Washington%2C+United+States+of+America&destType=MARKET&neighborhoodId=800130&sort=RECOMMENDED&top_dp=109&top_cur=USD&semdtl=&userIntent=&selectedRoomType=214200434&selectedRatePlan=248291609
Red Roof Inn Seattle Airport - SEATAC,SeaTac,Good,$76,"(2,497 reviews)",/Seattle-Hotels-Red-Roof-Inn-Seattle-Airport-SEATAC.h14917.Hotel-Information?chkin=2022-02-13&chkout=2022-02-14&x_pwa=1&rfrr=HSR&pwa_ts=1643627897595&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=178307&destination=Seattle+%28and+vicinity%29%2C+Washington%2C+United+States+of+America&destType=MARKET&sort=RECOMMENDED&top_dp=66&top_cur=USD&semdtl=&userIntent=&selectedRoomType=200198046&selectedRatePlan=382797970
La Quinta Inn & Suites by Wyndham Seattle Downtown,Belltown,Very Good,$117,"(1,002 reviews)",/Seattle-Hotels-La-Quinta-Inn-Suites-By-Wyndham-Seattle-Downtown.h16349.Hotel-Information?chkin=2022-02-13&chkout=2022-02-14&x_pwa=1&rfrr=HSR&pwa_ts=1643627897596&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=178307&destination=Seattle+%28and+vicinity%29%2C+Washington%2C+United+States+of+America&destType=MARKET&neighborhoodId=6237231&sort=RECOMMENDED&top_dp=99&top_cur=USD&semdtl=&userIntent=&selectedRoomType=353643&selectedRatePlan=222118910
Residence Inn by Marriott Seattle Downtown/Convention Center,Belltown,Wonderful,$182,"(1,000 reviews)",/Seattle-Hotels-Residence-Inn-By-Marriott-Seattle-DowntownConvention-Center.h20088122.Hotel-Information?chkin=2022-02-13&chkout=2022-02-14&x_pwa=1&rfrr=HSR&pwa_ts=1643627897588&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=178307&destination=Seattle+%28and+vicinity%29%2C+Washington%2C+United+States+of+America&destType=MARKET&neighborhoodId=6237231&sort=RECOMMENDED&top_dp=155&top_cur=USD&semdtl=&userIntent=&selectedRoomType=202234918&selectedRatePlan=294378436
Hotel Sorrento,Downtown Seattle,Excellent,$196,"(1,001 reviews)",/Seattle-Hotels-Hotel-Sorrento.h21924.Hotel-Information?chkin=2022-02-13&chkout=2022-02-14&x_pwa=1&rfrr=HSR&pwa_ts=1643627897592&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=178307&destination=Seattle+%28and+vicinity%29%2C+Washington%2C+United+States+of+America&destType=MARKET&neighborhoodId=800130&sort=RECOMMENDED&top_dp=149&top_cur=USD&semdtl=&userIntent=&selectedRoomType=2202&selectedRatePlan=2202
"The Charter Hotel Seattle, Curio Collection by Hilton",Downtown Seattle,Excellent,$229,(613 reviews),/Seattle-Hotels-The-Charter-Hotel-Seattle.h23379389.Hotel-Information?chkin=2022-02-13&chkout=2022-02-14&x_pwa=1&rfrr=HSR&pwa_ts=1643627897587&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=178307&destination=Seattle+%28and+vicinity%29%2C+Washington%2C+United+States+of+America&destType=MARKET&neighborhoodId=800130&sort=RECOMMENDED&top_dp=175&top_cur=USD&semdtl=&userIntent=&selectedRoomType=221407702&selectedRatePlan=296082065
Coast Gateway Hotel,SeaTac,Excellent,$129,"(2,204 reviews)",/Seattle-Hotels-Coast-Gateway-Hotel.h28646.Hotel-Information?chkin=2022-02-13&chkout=2022-02-14&x_pwa=1&rfrr=HSR&pwa_ts=1643627897595&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=178307&destination=Seattle+%28and+vicinity%29%2C+Washington%2C+United+States+of+America&destType=MARKET&sort=RECOMMENDED&top_dp=113&top_cur=USD&semdtl=&userIntent=&selectedRoomType=6018&selectedRatePlan=242269032
Embassy Suites by Hilton Seattle Downtown Pioneer Square,Seattle,Wonderful,$194,"(1,004 reviews)",/Seattle-Hotels-Embassy-Suites-By-Hilton-Seattle-Downtown-Pioneer-Square.h20123320.Hotel-Information?chkin=2022-02-13&chkout=2022-02-14&x_pwa=1&rfrr=HSR&pwa_ts=1643627897596&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=178307&destination=Seattle+%28and+vicinity%29%2C+Washington%2C+United+States+of+America&destType=MARKET&neighborhoodId=6237292&sort=RECOMMENDED&top_dp=166&top_cur=USD&semdtl=&userIntent=&selectedRoomType=202214313&selectedRatePlan=292095611
La Quinta Inn & Suites by Wyndham Seattle Sea-Tac Airport,SeaTac,Good,$92,"(1,219 reviews)",/Seattle-Hotels-La-Quinta-Inn-Suites-By-Wyndham-Seattle-Sea-Tac-Airport.h22289.Hotel-Information?chkin=2022-02-13&chkout=2022-02-14&x_pwa=1&rfrr=HSR&pwa_ts=1643627897587&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=178307&destination=Seattle+%28and+vicinity%29%2C+Washington%2C+United+States+of+America&destType=MARKET&sort=RECOMMENDED&top_dp=80&top_cur=USD&semdtl=&userIntent=&selectedRoomType=201857154&selectedRatePlan=230138707
College Inn Hotel,University District,Very Good,$107,(178 reviews),/Seattle-Hotels-College-Inn-Hotel.h912641.Hotel-Information?chkin=2022-02-13&chkout=2022-02-14&x_pwa=1&rfrr=HSR&pwa_ts=1643627897596&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=178307&destination=Seattle+%28and+vicinity%29%2C+Washington%2C+United+States+of+America&destType=MARKET&neighborhoodId=6054612&sort=RECOMMENDED&top_dp=93&top_cur=USD&semdtl=&userIntent=&selectedRoomType=213604005&selectedRatePlan=382755528
W Seattle,Downtown Seattle,Excellent,$158,"(1,000 reviews)",/Seattle-Hotels-W-Seattle.h284304.Hotel-Information?chkin=2022-02-13&chkout=2022-02-14&x_pwa=1&rfrr=HSR&pwa_ts=1643627897597&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=178307&destination=Seattle+%28and+vicinity%29%2C+Washington%2C+United+States+of+America&destType=MARKET&neighborhoodId=800130&sort=RECOMMENDED&top_dp=135&top_cur=USD&semdtl=&userIntent=&selectedRoomType=213304382&selectedRatePlan=242264340
